rank_2024_est,place,state,pop_2024_07_01
199,Coral Springs,Florida,140808
200,Victorville,California,140721
201,Elizabeth,New Jersey,140413
202,Fullerton,California,140054
203,Meridian,Idaho,139740
204,Torrance,California,139576
205,Stamford,Connecticut,139134
206,West Valley City,Utah,138144
207,Orange,California,137941
208,Cedar Rapids,Iowa,137904
209,Warren,Michigan,137686
210,Hampton,Virginia,137596
211,New Haven,Connecticut,137562
212,Pasadena,California,137195
213,Kent,Washington,136588
214,Dayton,Ohio,136346
215,Fargo,North Dakota,136285
216,Lewisville,Texas,135983
217,Carrollton,Texas,135456
218,Round Rock,Texas,135359
219,Sterling Heights,Michigan,134342
220,Santa Clara,California,133132
221,Norman,Oklahoma,131010
222,Columbia,Missouri,130900
223,Abilene,Texas,130501
224,Pearland,Texas,129620
225,Athens-Clarke County unified government (balance),Georgia,128691
226,College Station,Texas,128023
227,Clovis,California,127993
228,West Palm Beach,Florida,127744
229,Allentown,Pennsylvania,127138
230,North Charleston,South Carolina,126005
231,Simi Valley,California,125778
232,Topeka,Kansas,125467
233,Wilmington,North Carolina,125284
234,Lakeland,Florida,124990
235,Thousand Oaks,California,124229
236,Concord,California,124016
237,Rochester,Minnesota,123624
238,Vallejo,California,123475
239,Ann Arbor,Michigan,122925
240,Broken Arrow,Oklahoma,122756
241,Fairfield,California,122646
242,Lafayette,Louisiana,122280
243,Hartford,Connecticut,122129
244,Arvada,Colorado,121873
245,Berkeley,California,121749
246,Independence,Missouri,121629
247,Billings,Montana,121483
248,Cambridge,Massachusetts,121186
249,Lowell,Massachusetts,120418
250,Odessa,Texas,119748
251,High Point,North Carolina,118601
252,League City,Texas,118456
253,Antioch,California,118453
254,Richardson,Texas,118221
255,Goodyear,Arizona,118186
256,Pompano Beach,Florida,118104
257,Nampa,Idaho,117350
258,Menifee,California,117041
259,Las Cruces,New Mexico,116998
260,Clearwater,Florida,116811
261,West Jordan,Utah,116688
262,New Braunfels,Texas,116477
263,Manchester,New Hampshire,116386
264,Miami Gardens,Florida,116173
265,Waterbury,Connecticut,115908
266,Provo,Utah,115479
267,Evansville,Indiana,115395
268,Richmond,California,115353
269,Westminster,Colorado,115302
270,Elgin,Illinois,114701
271,Conroe,Texas,114581
272,Greeley,Colorado,114363
273,Lansing,Michigan,114336
274,Buckeye,Arizona,114334
275,Tuscaloosa,Alabama,114288
276,Allen,Texas,113746
277,Carlsbad,California,113575
278,Everett,Washington,113011
279,Springfield,Illinois,112949
280,Beaumont,Texas,112893
281,Murrieta,California,112539
282,Rio Rancho,New Mexico,112524
283,Temecula,California,112431
284,Concord,North Carolina,112395
285,Tyler,Texas,112219
286,Davie,Florida,112052
287,South Fulton,Georgia,112003
288,Peoria,Illinois,111696
289,Sparks,Nevada,111520
290,Gresham,Oregon,111507
291,Santa Maria,California,111346
292,Pueblo,Colorado,111166
293,Hillsboro,Oregon,110337
294,Sugar Land,Texas,109851
295,San Buenaventura (Ventura),California,109831
296,Downey,California,109368
297,Costa Mesa,California,109131
298,Centennial,Colorado,108853
299,Edinburg,Texas,108733
300,Spokane Valley,Washington,108267
301,Jurupa Valley,California,108154
302,Bend,Oregon,106926
303,West Covina,California,106920
304,Boulder,Colorado,106803
305,Palm Coast,Florida,106729
306,Lee's Summit,Missouri,106419
307,Dearborn,Michigan,106377
308,Green Bay,Wisconsin,106311
309,St. George,Utah,106288
310,Brockton,Massachusetts,105788
311,Renton,Washington,105543
312,Sandy Springs,Georgia,105505
313,Rialto,California,104918
314,El Monte,California,104639
315,Vacaville,California,103994
316,Fishers,Indiana,103986
317,South Bend,Indiana,103713
318,Carmel,Indiana,103606
319,Yuma,Arizona,103559
320,Burbank,California,103533
321,Lynn,Massachusetts,103489
322,Quincy,Massachusetts,103434
323,El Cajon,California,103291
324,Fayetteville,Arkansas,103134
325,Suffolk,Virginia,103105
326,San Mateo,California,103006
327,Chico,California,102911
328,Inglewood,California,102774
329,Wichita Falls,Texas,102372
330,Boca Raton,Florida,102238
331,Hesperia,California,101836
332,Daly City,California,101418
333,Georgetown,Texas,101344
334,New Bedford,Massachusetts,101318
335,Albany,New York,101317
336,Davenport,Iowa,100938
337,Plantation,Florida,100694
338,Deltona,Florida,100513
339,Federal Way,Washington,100252
340,San Angelo,Texas,100159
341,Tracy,California,100136
342,Sunrise,Florida,100128
